frame,y,dist_px,rank,source,confidence
13,0,116.799,25,map,high
13,0,135.422,26,map,high
13,0,63.641,28,map,high
13,0,124.482,29,map,high
13,0,83.522,30,map,high
13,0,39.091,31,map,high
13,0,85.275,32,map,high
13,0,96.776,33,map,high
13,0,51.378,34,map,high
13,0,75.215,35,map,high
13,0,88.036,36,map,high
13,0,79.304,37,map,high
13,0,84.688,38,map,high
13,0,53.513,39,map,high
13,0,127.596,40,map,high
13,0,31.486,41,map,high
13,0,125.421,42,map,high
13,0,110.07,43,map,high
13,0,64.8,44,map,high
13,0,96.813,47,map,high
13,0,70.683,48,map,high
13,0,89.557,49,map,high
13,0,101.676,50,map,high
13,0,58.07,52,map,high
13,0,74.336,54,map,high
13,0,119.396,56,map,high
13,0,121.639,57,map,high
13,0,102.11,58,map,high
13,0,50.58,59,map,high
13,0,78.554,60,map,high
13,0,39.309,61,map,high
13,0,77.423,62,map,high
13,0,128.226,63,map,high
13,0,49.954,64,map,high
13,0,122.071,65,map,high
13,0,51.991,66,map,high
13,0,67.474,67,map,high
13,0,25.307,68,map,high
13,0,90.719,69,map,high
13,0,31.42,70,map,high
13,0,38.339,71,map,high
13,0,42.44,72,map,high
13,0,35.573,73,map,high
13,0,115.651,74,map,high
13,0,83.59,75,map,high
13,1,2.947,77,map,high
13,1,3.351,78,map,high
14,0,27.213,1,appearance,high
14,0,58.08,2,map,high
14,0,29.721,3,map,high
14,0,59.532,4,map,high
14,0,58.049,5,map,high
14,0,33.462,6,appearance,high
14,0,105.883,8,map,high
14,0,45.893,9,map,high
14,0,98.633,10,map,high
14,0,140.795,11,map,high
14,0,110.709,12,map,high
14,0,57.176,13,map,high
14,0,64.171,14,map,high
14,0,90.481,15,map,high
14,0,62.874,16,map,high
14,0,135.738,17,map,high
14,0,114.537,18,map,high
14,0,103.011,19,map,high
14,0,109.531,20,map,high
14,0,34.178,21,map,high
14,0,111.655,22,map,high
14,0,86.857,23,map,high
14,0,116.786,24,map,high
14,0,135.654,25,map,high
14,0,63.838,27,map,high
14,0,124.528,28,map,high
14,0,83.473,29,map,high
14,0,39.552,30,map,high
14,0,96.737,31,map,high
14,0,51.838,32,map,high
14,0,85.708,33,map,high
14,0,75.667,34,map,high
14,0,88.163,35,map,high
14,0,79.747,36,map,high
14,0,84.801,37,map,high
14,0,53.973,38,map,high
14,0,127.847,39,map,high
14,0,125.427,40,map,high
14,0,31.115,41,map,high
14,0,110.039,42,map,high
14,0,64.944,43,map,high
14,0,24.103,44,map,high
14,0,97.243,45,map,high
14,0,70.835,47,map,high
14,0,89.601,48,map,high
14,0,101.818,50,map,high
14,0,58.514,51,map,high
14,0,74.35,53,map,high
14,0,119.49,55,map,high
14,0,121.846,56,map,high
14,0,80.594,57,map,high
14,0,102.119,58,map,high
14,0,50.171,59,map,high
14,0,78.714,60,map,high
14,0,39.384,61,map,high
14,0,77.882,62,map,high
14,0,128.587,63,map,high
14,0,50.352,64,map,high
14,0,122.213,65,map,high
14,0,51.999,66,map,high
14,0,67.721,67,map,high
14,0,24.902,68,map,high
14,0,91.158,69,map,high
14,0,31.877,70,map,high
14,0,38.791,71,map,high
14,0,42.899,72,map,high
14,0,35.768,73,map,high
14,0,115.856,74,map,high
14,1,2.661,76,map,high
14,1,2.921,77,map,high
15,0,79.548,1,map,high
15,0,57.735,2,map,high
15,0,31.671,3,map,high
15,0,26.762,4,appearance,high
15,0,47.404,5,map,high
15,0,68.973,6,map,high
15,0,96.34,7,map,high
15,0,103.408,8,map,high
15,0,56.523,10,map,high
15,0,115.505,11,map,high
15,0,90.05,12,map,high
15,0,115.751,13,map,high
15,0,115.784,14,map,high
15,0,87.012,15,map,high
15,0,92.253,16,map,high
15,0,113.516,17,map,high
15,0,79.894,18,map,high
15,0,44.458,19,map,high
15,0,82.004,20,map,high
15,0,129.869,21,map,high
15,0,26.954,22,map,high
15,0,37.995,23,map,high
15,0,78.98,24,map,high
15,0,94.105,25,map,high
15,0,56.15,26,map,high
15,0,59.028,27,map,high
15,0,62.477,28,map,high
15,0,107.779,29,map,high
15,0,41.318,30,map,high
15,0,48.189,31,map,high
15,0,27.293,32,map,high
15,0,59.177,33,map,high
15,0,94.86,34,map,high
15,0,58.689,35,map,high
15,0,68.879,36,map,high
15,0,98.495,37,map,high
15,0,140.851,38,map,high
15,0,110.785,39,map,high
15,0,57.637,40,map,high
15,0,33.751,41,appearance,high
15,0,64.616,42,map,high
15,0,63.326,43,map,high
15,0,135.954,44,map,high
15,0,114.873,45,map,high
15,0,103.084,46,map,high
15,0,109.649,47,map,high
15,0,34.243,48,map,high
15,0,111.89,49,map,high
15,0,87.298,50,map,high
15,0,135.888,51,map,high
15,0,71.78,53,map,high
15,0,86.142,54,map,high
15,0,30.746,55,map,high
15,0,30.593,56,appearance,high
15,0,26.5,58,map,high
15,0,50.474,60,map,high
15,0,25.348,61,map,high
15,0,86.056,62,map,high
15,0,47.883,63,map,high
15,0,101.962,64,map,high
15,0,106.692,65,map,high
15,0,87.376,66,map,high
15,0,122.053,69,map,high
15,0,80.168,70,map,high
15,0,53.735,71,map,high
15,0,102.131,72,map,high
15,0,37.039,73,appearance,high
15,0,78.877,74,map,high
15,0,39.465,75,map,high
15,0,59.189,76,map,high
15,0,78.34,77,map,high
15,0,50.751,78,map,high
15,0,88.765,79,map,high
15,0,53.49,80,map,high
16,0,57.39,1,map,high
16,0,69.418,2,map,high
16,0,78.785,3,map,high
16,0,26.314,4,appearance,high
16,0,48.15,5,map,high
16,0,96.094,6,map,high
16,0,101.493,7,map,high
16,0,89.628,9,map,high
16,0,56.682,10,map,high
16,0,115.528,11,map,high
16,0,115.739,12,map,high
16,0,115.867,13,map,high
16,0,87.056,14,map,high
16,0,92.265,15,map,high
16,0,113.629,16,map,high
16,0,80.123,17,map,high
16,0,44.913,18,map,high
16,0,82.202,19,map,high
16,0,129.902,20,map,high
16,0,26.967,21,map,high
16,0,38.074,22,map,high
16,0,79.408,23,map,high
16,0,94.298,24,map,high
16,0,56.409,25,map,high
16,0,62.661,26,map,high
16,0,107.833,27,map,high
16,0,41.362,28,map,high
16,0,48.547,29,map,high
16,0,27.749,30,map,high
16,0,59.323,31,map,high
16,0,95.283,32,map,high
16,0,69.314,33,map,high
16,0,34.047,34,appearance,high
16,0,71.825,35,map,high
16,0,50.912,37,map,high
16,0,24.167,38,map,high
16,0,26.283,39,map,high
16,0,29.954,40,appearance,high
16,0,86.302,41,map,high
16,0,48.1,42,map,high
16,0,106.647,43,map,high
16,0,87.444,44,map,high
16,0,31.749,45,map,high
16,0,79.757,46,map,high
16,0,53.281,47,map,high
16,0,38.296,48,appearance,high
16,0,59.225,49,map,high
16,0,88.927,50,map,high
16,0,53.885,51,map,high
16,0,34.549,52,map,high
16,1,2.668,53,map,high
17,0,57.048,1,map,high
17,0,58.639,2,map,high
17,0,75.517,3,map,high
17,0,69.87,4,map,high
17,0,89.199,5,map,high
17,0,76.813,6,map,high
17,0,131.835,7,map,high
17,0,44.363,8,map,high
17,0,78.099,9,map,high
17,0,106.828,10,map,high
17,0,56.854,11,map,high
17,0,142.162,12,map,high
17,0,97.288,13,map,high
17,0,92.288,14,map,high
17,0,68.369,15,map,high
17,0,40.076,16,map,high
17,0,123.578,17,map,high
17,0,101.31,18,map,high
17,0,119.223,19,map,high
17,0,109.761,20,map,high
17,0,106.394,21,map,high
17,0,52.82,22,map,high
17,0,56.112,23,map,high
17,0,76.717,24,map,high
17,0,94.403,25,map,high
17,0,65.057,26,map,high
17,0,71.113,27,map,high
17,0,114.794,28,map,high
17,0,26.654,29,map,high
17,0,66.929,30,map,high
17,0,87.288,31,map,high
17,0,38.371,32,map,high
17,0,45.148,33,map,high
17,0,107.628,34,motion,high
17,0,48.926,35,map,high
17,0,25.805,36,map,high
17,0,125.584,37,map,high
17,0,25.863,38,appearance,high
17,0,95.84,39,map,high
17,0,99.614,41,map,high
17,0,132.008,42,map,high
17,0,115.563,43,map,high
17,0,115.738,44,map,high
17,0,115.962,45,map,high
17,0,96.822,46,motion,high
17,0,87.113,47,map,high
17,0,113.754,48,map,high
17,0,80.363,49,map,high
17,0,45.374,50,map,high
17,0,82.413,51,map,high
17,0,129.945,52,map,high
17,0,26.997,53,map,high
17,0,79.844,54,map,high
17,0,36.231,55,appearance,high
17,0,57.014,56,map,high
17,0,41.421,57,map,high
17,0,48.905,58,map,high
17,0,28.211,59,map,high
17,0,59.466,60,map,high
17,0,95.713,61,map,high
17,0,101.412,62,map,high
17,0,69.757,63,map,high
17,0,52.722,64,map,high
17,0,71.882,65,map,high
17,0,32.124,67,appearance,high
17,0,29.311,68,appearance,high
17,0,40.038,69,appearance,high
17,0,80.348,70,map,high
17,0,51.357,72,map,high
17,0,86.56,74,map,high
17,0,48.331,75,map,high
17,0,101.893,76,map,high
17,0,26.468,77,map,high
17,0,106.613,78,map,high
17,0,33.754,79,map,high
17,0,87.523,80,map,high
18,0,58.658,1,map,high
18,0,88.777,2,map,high
18,0,58.995,3,map,high
18,0,84.435,4,map,high
18,0,55.337,5,map,high
18,0,42.095,6,map,high
18,0,124.333,7,map,high
18,0,52.366,8,map,high
18,0,84.333,9,map,high
18,0,70.907,10,map,high
18,0,86.956,11,map,high
18,0,102.558,12,map,high
